2018-08-03 16:21:26.795 INFO  28970 --- [ main ] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2018-08-03 16:21:26.839 INFO  29014 --- [ main ] o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-08-03 16:21:26.861 INFO  29036 --- [ main ] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-08-03 16:21:26.866 INFO  29041 --- [ main ] codesquad.BaeminchanApplication - Started BaeminchanApplication in 28.697 seconds (JVM running for 29.422)
2018-08-03 16:23:50.787 INFO  172962 --- [ Thread-3 ] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5158b42f: startup date [Fri Aug 03 16:21:18 KST 2018]; root of context hierarchy
2018-08-03 16:23:50.790 INFO  172965 --- [ Thread-3 ] o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2018-08-03 16:23:50.791 INFO  172966 --- [ Thread-3 ] o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2018-08-03 16:23:50.792 INFO  172967 --- [ Thread-3 ] o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2018-08-03 16:23:50.796 INFO  172971 --- [ Thread-3 ] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2018-08-03 16:23:50.796 INFO  172971 --- [ Thread-3 ] o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed drop of schema as part of SessionFactory shut-down'
2018-08-03 16:23:50.802 INFO  172977 --- [ Thread-3 ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2018-08-03 16:23:50.807 INFO  172982 --- [ Thread-3 ] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2018-08-03 16:24:13.196 INFO  20859 --- [ main ] codesquad.BaeminchanApplication - Starting BaeminchanApplication on woowatechcamp6.local with PID 45163 (/Users/woowatechcamp_6/Documents/day1/baeminchan/out/production/classes started by woowatechcamp_6 in /Users/woowatechcamp_6/Documents/day1/baeminchan)
2018-08-03 16:24:13.205 INFO  20868 --- [ main ] codesquad.BaeminchanApplication - The following profiles are active: local
2018-08-03 16:24:13.249 INFO  20912 --- [ main ] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@9f116cc: startup date [Fri Aug 03 16:24:13 KST 2018]; root of context hierarchy
2018-08-03 16:24:14.444 INFO  22107 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1f5d6e01] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:14.497 INFO  22160 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsHelpersAutoConfiguration' of type [pl.allegro.tech.boot.autoconfigure.handlebars.HandlebarsHelpersAutoConfiguration$$EnhancerBySpringCGLIB$$9e268ddb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-03 16:24:14.534 INFO  22197 --- [ main ] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
